Date,Time,Down,Up,Ping
04/19/20,02:00,6.01,1.27,38.483
04/19/20,03:00,6.05,1.23,35.92
04/19/20,04:00,6.69,1.42,37.891
04/19/20,05:00,6.02,1.18,42.205
04/19/20,06:00,6.62,1.25,37.772
04/19/20,07:00,6.69,1.45,37.715
04/19/20,08:00,6.62,1.35,35.241
04/19/20,09:00,4.02,1.07,39.306
04/19/20,10:00,6.64,1.27,36.267
04/19/20,11:00,5.90,1.23,39.763
04/19/20,12:00,6.62,0.97,38.876
04/19/20,13:00,5.93,1.18,38.375
04/19/20,14:00,4.96,1.15,40.081
04/19/20,15:00,6.60,1.28,38.641
04/19/20,16:00,6.57,1.15,36.803
04/19/20,17:00,6.65,1.40,38.742
04/19/20,18:00,6.73,1.24,38.743
04/19/20,19:00,6.66,1.09,38.699
04/19/20,20:00,6.63,1.31,39.064
04/19/20,21:00,5.69,1.30,37.749
04/19/20,22:00,6.73,1.23,38.097
04/19/20,23:00,6.65,1.45,36.92
04/20/20,00:00,6.73,1.36,38.072
04/20/20,01:00,6.58,1.06,39.186
04/20/20,02:00,6.67,1.36,39.142
04/20/20,03:00,6.05,1.38,37.457
04/20/20,04:00,6.73,1.42,36.767
04/20/20,05:00,6.43,1.35,37.026
04/20/20,06:00,6.69,1.22,38.884
04/20/20,07:00,6.64,1.36,39.502
04/20/20,08:00,6.32,1.31,40.084
04/20/20,09:00,6.12,1.08,40.518
04/20/20,10:00,6.20,1.20,39.51
04/20/20,11:00,6.54,0.88,44.657
04/20/20,12:00,5.93,1.23,37.68
04/20/20,13:00,6.43,1.24,39.747
04/20/20,14:00,6.22,1.20,41.431
04/20/20,15:00,6.11,0.97,38.86
04/20/20,16:00,6.40,1.14,38.142
04/20/20,17:00,5.85,1.25,39.143
04/20/20,18:00,6.62,1.28,35.086
04/20/20,19:00,6.59,1.25,38.134
04/20/20,20:00,4.07,1.13,39.904
04/20/20,21:00,4.48,1.26,38.572
04/20/20,22:00,6.66,1.34,42.813
04/20/20,23:00,6.25,1.21,41.831
04/21/20,00:00,6.63,1.28,38.198
04/21/20,01:00,5.36,1.20,39.344
04/21/20,02:00,6.01,0.94,37.03
04/21/20,03:00,5.51,1.34,50.329
04/21/20,04:00,6.64,0.85,36.552
04/21/20,05:00,6.11,1.23,37.841
04/21/20,06:00,6.38,1.39,38.069
04/21/20,07:00,6.47,1.26,40.958
04/21/20,08:00,4.90,1.20,38.516
04/21/20,09:00,6.64,1.18,39.23
04/21/20,10:00,6.00,1.02,38.505
04/21/20,11:00,5.29,1.16,68.617
04/21/20,12:00,6.14,1.16,38.354
04/21/20,13:00,6.37,0.87,35.861
04/21/20,14:00,6.22,1.32,49.7
04/21/20,15:00,6.36,1.10,39.609
04/21/20,16:00,6.07,1.10,36.99
04/21/20,17:00,5.15,0.87,44.038
04/21/20,18:00,6.68,0.95,38.719
04/21/20,19:00,6.48,1.36,40.875
04/21/20,20:00,6.69,1.10,38.15
04/21/20,21:00,3.85,1.27,264.783
04/21/20,22:00,4.79,1.46,37.992
04/21/20,23:00,6.75,1.29,36.286
04/22/20,00:00,6.77,1.28,35.778
04/22/20,01:00,6.72,1.25,36.009
04/22/20,02:00,5.91,1.30,37.477
04/22/20,03:00,5.09,1.30,39.693
04/22/20,04:00,6.56,1.15,36.742
04/22/20,05:00,6.57,1.39,35.275
04/22/20,06:00,6.66,1.33,37.719
